model,add_num,value
MISRRLL,4,0.97204
APMISRR,4,0.934396
TolerMIS,4,0.957735
MISRRLL,4,0.971651
APMISRR,4,0.925482
TolerMIS,4,0.950431
MISRRLL,4,0.970782
APMISRR,4,0.933872
TolerMIS,4,0.954981
MISRRLL,4,0.971931
APMISRR,4,0.932405
TolerMIS,4,0.953467
MISRRLL,4,0.971569
APMISRR,4,0.944816
TolerMIS,4,0.956631
MISRRLL,4,0.972247
APMISRR,4,0.927055
TolerMIS,4,0.951979
MISRRLL,4,0.970951
APMISRR,4,0.932509
TolerMIS,4,0.954647
MISRRLL,4,0.971475
APMISRR,4,0.919568
TolerMIS,4,0.946589
MISRRLL,4,0.969947
APMISRR,4,0.933553
TolerMIS,4,0.951973
MISRRLL,4,0.971745
APMISRR,4,0.929615
TolerMIS,4,0.952415
MISRRLL,4,0.971368
APMISRR,4,0.930634
TolerMIS,4,0.953484
MISRRLL,4,0.971546
APMISRR,4,0.931398
TolerMIS,4,0.95456
MISRRLL,4,0.97133
APMISRR,4,0.929229
TolerMIS,4,0.95435
MISRRLL,4,0.970746
APMISRR,4,0.923622
TolerMIS,4,0.949351
MISRRLL,4,0.970104
APMISRR,4,0.930254
TolerMIS,4,0.952683
MISRRLL,4,0.971405
APMISRR,4,0.932974
TolerMIS,4,0.952015
MISRRLL,4,0.971851
