model,add_num,value
APMISRR,3,0.958547
TolerMIS,3,0.968466
MISRRLL,3,0.97704
APMISRR,3,0.955849
TolerMIS,3,0.965595
MISRRLL,3,0.976761
APMISRR,3,0.966461
TolerMIS,3,0.971773
MISRRLL,3,0.977115
APMISRR,3,0.960387
TolerMIS,3,0.971158
MISRRLL,3,0.97633
APMISRR,3,0.955618
TolerMIS,3,0.965225
MISRRLL,3,0.976564
APMISRR,3,0.952685
TolerMIS,3,0.964428
MISRRLL,3,0.975691
APMISRR,3,0.957969
TolerMIS,3,0.96615
MISRRLL,3,0.976898
APMISRR,3,0.949414
TolerMIS,3,0.960019
MISRRLL,3,0.976409
APMISRR,3,0.955359
TolerMIS,3,0.96638
MISRRLL,3,0.976589
APMISRR,3,0.957082
TolerMIS,3,0.966881
MISRRLL,3,0.976465
APMISRR,3,0.955856
TolerMIS,3,0.967464
MISRRLL,3,0.975899
APMISRR,3,0.951846
TolerMIS,3,0.964078
MISRRLL,3,0.975861
APMISRR,3,0.95471
TolerMIS,3,0.96605
MISRRLL,3,0.976715
APMISRR,3,0.955924
TolerMIS,3,0.963523
MISRRLL,3,0.976835
APMISRR,4,0.942858
TolerMIS,4,0.952826
MISRRLL,4,0.974256
APMISRR,4,0.959513
TolerMIS,4,0.968975
MISRRLL,4,0.974999
APMISRR,4,0.949844
TolerMIS,4,0.958331
MISRRLL,4,0.974845
APMISRR,4,0.953057
TolerMIS,4,0.963781
MISRRLL,4,0.974711
APMISRR,4,0.954453
TolerMIS,4,0.9646
MISRRLL,4,0.974937
APMISRR,4,0.956948
TolerMIS,4,0.965958
MISRRLL,4,0.974928
APMISRR,4,0.953552
TolerMIS,4,0.96565
MISRRLL,4,0.97474
APMISRR,4,0.96881
TolerMIS,4,0.95894
MISRRLL,4,0.974592
APMISRR,4,0.948447
TolerMIS,4,0.960133
MISRRLL,4,0.974293
APMISRR,4,0.96924
TolerMIS,4,0.96227
MISRRLL,4,0.974425
APMISRR,4,0.946316
TolerMIS,4,0.957414
MISRRLL,4,0.974191
APMISRR,4,0.959822
TolerMIS,4,0.968848
MISRRLL,4,0.975018
APMISRR,4,0.952666
TolerMIS,4,0.96339
MISRRLL,4,0.974715
APMISRR,4,0.957193
TolerMIS,4,0.965595
MISRRLL,4,0.974781
APMISRR,4,0.956798
TolerMIS,4,0.968319
MISRRLL,4,0.975028
APMISRR,4,0.94862
TolerMIS,4,0.959828
MISRRLL,4,0.97448
APMISRR,4,0.954409
TolerMIS,4,0.964105
MISRRLL,4,0.975134
APMISRR,4,0.953143
TolerMIS,4,0.962222
MISRRLL,4,0.974677
APMISRR,4,0.962276
TolerMIS,4,0.965675
MISRRLL,4,0.975035
APMISRR,4,0.950548
TolerMIS,4,0.961876
MISRRLL,4,0.974743
APMISRR,4,0.954087
TolerMIS,4,0.964308
MISRRLL,4,0.974848
APMISRR,4,0.944761
TolerMIS,4,0.956139
MISRRLL,4,0.974026
APMISRR,4,0.953031
TolerMIS,4,0.960208
MISRRLL,4,0.974843
APMISRR,4,0.95113
TolerMIS,4,0.961439
MISRRLL,4,0.974749
APMISRR,4,0.951988
TolerMIS,4,0.962561
MISRRLL,4,0.974846
APMISRR,4,0.953566
TolerMIS,4,0.964318
MISRRLL,4,0.974731
APMISRR,4,0.953735
TolerMIS,4,0.965093
MISRRLL,4,0.974508
APMISRR,4,0.948864
TolerMIS,4,0.959493
MISRRLL,4,0.974122
APMISRR,4,0.952051
TolerMIS,4,0.961845
MISRRLL,4,0.974922
APMISRR,4,0.952441
TolerMIS,4,0.960192
MISRRLL,4,0.974962
